curve,x,y
roc,0.26325,0.982486
roc,0.263335,0.98279
roc,0.263463,0.983095
roc,0.263506,0.983475
roc,0.263591,0.984085
roc,0.263677,0.984618
roc,0.263719,0.985075
roc,0.263847,0.985151
roc,0.263911,0.985303
roc,0.263975,0.985455
roc,0.264018,0.985988
roc,0.264082,0.986521
roc,0.264146,0.986826
roc,0.26421,0.987055
roc,0.264381,0.987283
roc,0.264423,0.987588
roc,0.26453,0.987664
roc,0.264637,0.988121
roc,0.264701,0.988349
roc,0.264744,0.988501
roc,0.264786,0.988654
roc,0.264914,0.988806
roc,0.264978,0.988958
roc,0.265064,0.989339
roc,0.265106,0.989872
roc,0.265298,0.989948
roc,0.265426,0.990177
roc,0.265469,0.990329
roc,0.265533,0.990481
roc,0.26564,0.990557
roc,0.265682,0.99071
roc,0.265746,0.991014
roc,0.265832,0.991167
roc,0.265981,0.991471
roc,0.26628,0.992233
roc,0.26645,0.992461
roc,0.266536,0.992613
roc,0.266835,0.99269
roc,0.266877,0.992842
roc,0.267027,0.992918
roc,0.267155,0.993147
roc,0.26724,0.993299
roc,0.267283,0.99368
roc,0.267347,0.993832
roc,0.267453,0.994213
roc,0.26756,0.994365
roc,0.267645,0.994593
roc,0.267752,0.994898
roc,0.267859,0.99505
roc,0.267944,0.995279
roc,0.268029,0.995431
roc,0.268093,0.995888
roc,0.2682,0.996116
roc,0.268392,0.996269
roc,0.268456,0.996421
roc,0.268627,0.996573
roc,0.268669,0.996802
roc,0.268733,0.996954
roc,0.268819,0.997335
roc,0.268947,0.997487
roc,0.269203,0.997639
roc,0.269331,0.997944
roc,0.269374,0.998325
roc,0.269523,0.998477
roc,0.2698,0.998553
roc,0.26995,0.998782
roc,0.270184,0.998934
roc,0.270483,0.999086
roc,0.270888,0.999239
roc,0.271721,0.999315
roc,0.272041,0.999467
roc,0.272425,0.999467
roc,0.27315,0.999467
roc,0.273427,0.999467
roc,0.273748,0.999543
roc,0.274004,0.999619
roc,0.274729,0.999619
roc,0.274985,0.999695
roc,0.275668,0.999772
roc,0.275903,0.999772
roc,0.276329,0.999772
roc,0.276649,0.999772
roc,0.27714,0.999772
roc,0.277652,0.999848
roc,0.277994,0.999848
roc,0.278314,0.999924
roc,0.278634,1.0
roc,0.2797,1.0
roc,0.281151,1.0
roc,0.281343,1.0
roc,0.281621,1.0
roc,0.2832,1.0
roc,0.285312,1.0
roc,0.286784,1.0
roc,0.287723,1.0
roc,0.290625,1.0
roc,0.291692,1.0
roc,0.292054,1.0
roc,0.292353,1.0
roc,0.293142,1.0
roc,0.297794,1.0
roc,0.299842,1.0
roc,0.300141,1.0
roc,0.301613,1.0
roc,0.303576,1.0
roc,0.305326,1.0
roc,0.305646,1.0
roc,0.306136,1.0
roc,0.308014,1.0
roc,0.311577,1.0
roc,0.312473,1.0
roc,0.312985,1.0
roc,0.315119,1.0
roc,0.316101,1.0
roc,0.317466,1.0
